Model,MAE,MSE,RMSE,R2,Version
CatBoost (Tuned),135.99600077484456,38157.32712244515,195.33900563493495,0.8844467373713846,Tuned
CatBoost,136.43594963905247,38392.41701957729,195.939830099899,0.883734805832326,Baseline
LightGBM (Tuned),137.33110039460468,38761.44345711491,196.8792611148135,0.8826172692523436,Tuned
XGBoost (Tuned),137.58319934228516,38867.52902506865,197.14849485874512,0.88229600635425,Tuned
Gradient Boosting (Tuned),137.97320461062702,39208.62343031255,198.0116749848669,0.8812630573936526,Tuned
lightgbm,139.52717624840636,39791.98296888678,199.47927954774346,0.8794964478575218,Baseline
XGBoost,141.13103779077147,40980.48201411723,202.4363653450566,0.875897271692308,Baseline
SVR (Tuned),144.92740381142832,42402.682522411975,205.9191164569525,0.8715903686349169,Tuned
Ridge (Tuned),148.06009815085838,44166.47873604252,210.1582230987941,0.8662489985110876,Tuned
Ridge Regression,148.06009815085838,44166.47873604252,210.1582230987941,0.8662489985110876,Baseline
Linear Regression,148.05982234726852,44166.54128862507,210.1583719213324,0.8662488090807594,Baseline
Gradient Boosting,152.02892355243318,45438.48750835518,213.1630538070685,0.8623969267121043,Baseline
SVR,153.27208286252824,46814.06134981959,216.36557339331873,0.8582312249359365,Baseline
Random Forest,157.07468703177,48768.18858709536,220.83520685591634,0.8523134682457454,Baseline
ExtraTrees,163.82899555940628,53444.766900039875,231.18124253502893,0.8381512110136058,Baseline
Lasso Regression,205.61073684201097,76775.3104961912,277.0835803438941,0.7674984521664427,Baseline
Decision Tree,231.03055,113671.15044999996,337.151524466374,0.6557653983703879,Baseline
AdaBoost,267.9384955592119,134084.98279339075,366.1761636062494,0.593945425434055,Baseline
